,model,data_name,f1_bn,f1_smote
0,Nearest Neighbors,ecoli,0.8181818181818182,0.9230769230769231
1,Decision Tree,ecoli,0.7619047619047619,0.9090909090909091
2,Random Forest,ecoli,0.47058823529411764,0.8571428571428571
3,Neural Net,ecoli,0.0,0.7142857142857143
4,AdaBoost,ecoli,0.6,0.9166666666666666
5,Naive Bayes,ecoli,0.8,0.6111111111111112
6,QDA,ecoli,0.2716049382716049,0.0
7,XGB,ecoli,0.7619047619047619,1.0
8,Nearest Neighbors,abalone,0.2541436464088398,0.6260869565217392
9,Decision Tree,abalone,0.0,0.36767676767676766
10,Random Forest,abalone,0.0,0.38188976377952755
11,Neural Net,abalone,0.0,0.33507853403141363
12,AdaBoost,abalone,0.0,0.35804701627486435
13,Naive Bayes,abalone,0.35062611806797855,0.3373083475298126
14,QDA,abalone,0.3281853281853282,0.3262411347517731
15,XGB,abalone,0.15492957746478872,0.7364620938628159
16,Nearest Neighbors,wine_quality,0.09836065573770492,0.5340314136125655
17,Decision Tree,wine_quality,0.0,0.24161073825503357
18,Random Forest,wine_quality,0.0,0.2709677419354839
19,Neural Net,wine_quality,0.0,0.2129032258064516
20,AdaBoost,wine_quality,0.0,0.21686746987951808
21,Naive Bayes,wine_quality,0.21978021978021978,0.1927710843373494
22,QDA,wine_quality,0.19047619047619047,0.19941348973607037
23,XGB,wine_quality,0.28125,0.9074074074074074
24,Nearest Neighbors,yeast_me2,0.18181818181818182,0.5909090909090909
25,Decision Tree,yeast_me2,0.2727272727272727,0.3793103448275862
26,Random Forest,yeast_me2,0.0,0.3582089552238806
27,Neural Net,yeast_me2,0.0,0.2682926829268293
28,AdaBoost,yeast_me2,0.19047619047619047,0.38596491228070173
29,Naive Bayes,yeast_me2,0.06451612903225806,0.06451612903225806
30,QDA,yeast_me2,0.031746031746031744,0.13333333333333333
31,XGB,yeast_me2,0.2727272727272727,1.0
32,Nearest Neighbors,mammography,0.6845637583892618,0.7354260089686099
33,Decision Tree,mammography,0.6,0.3989501312335958
34,Random Forest,mammography,0.5254237288135594,0.43859649122807015
35,Neural Net,mammography,0.5826771653543307,0.4470588235294118
36,AdaBoost,mammography,0.5625,0.35730858468677495
37,Naive Bayes,mammography,0.4979253112033195,0.2079343365253078
38,QDA,mammography,0.4701195219123506,0.1986754966887417
39,XGB,mammography,0.6891891891891891,0.898876404494382
40,Nearest Neighbors,abalone_19,0.0,0.3516483516483517
41,Decision Tree,abalone_19,0.0,0.12931034482758622
42,Random Forest,abalone_19,0.0,0.06557377049180328
43,Neural Net,abalone_19,0.0,0.0896551724137931
44,AdaBoost,abalone_19,0.0,0.10970464135021098
45,Naive Bayes,abalone_19,0.0,0.05008347245409015
46,QDA,abalone_19,0.0,0.0783289817232376
47,XGB,abalone_19,0.0,0.9142857142857143
